OpenPrice,LowPrice,HighPrice,ClosePrice,StockHistoryDate,StockTickerId,Volume
77.27,76.77,78.50,77.36,10/7/2021 12:00:00 AM,ATVI,8527360
14.34,14.30,14.95,14.89,10/7/2021 12:00:00 AM,F,96557549
138.86,138.56,140.15,139.19,10/7/2021 12:00:00 AM,GOOG,18250460
42.52,42.21,42.96,42.74,10/7/2021 12:00:00 AM,PFE,19778304
77.76,77.25,78.36,77.61,10/8/2021 12:00:00 AM,ATVI,8885204
14.92,14.85,15.49,15.12,10/8/2021 12:00:00 AM,F,99468887
139.91,139.43,140.32,140.06,10/8/2021 12:00:00 AM,GOOG,18928420
42.73,42.34,42.91,42.45,10/8/2021 12:00:00 AM,PFE,12778598
77.74,76.26,77.76,76.32,10/11/2021 12:00:00 AM,ATVI,6326425
15.20,14.97,15.36,15.09,10/11/2021 12:00:00 AM,F,45302310
139.80,138.81,140.76,138.85,10/11/2021 12:00:00 AM,GOOG,16584760
42.45,42.01,42.62,42.06,10/11/2021 12:00:00 AM,PFE,11984161
76.45,74.59,76.54,74.92,10/12/2021 12:00:00 AM,ATVI,6640867
15.11,15.01,15.68,15.64,10/12/2021 12:00:00 AM,F,89134009
139.64,136.25,139.69,136.71,10/12/2021 12:00:00 AM,GOOG,22535020
42.16,41.66,42.21,41.85,10/12/2021 12:00:00 AM,PFE,16222295
75.34,75.02,76.10,75.25,10/13/2021 12:00:00 AM,ATVI,6598863
15.59,15.27,15.69,15.51,10/13/2021 12:00:00 AM,F,63363486
137.75,136.98,138.55,137.90,10/13/2021 12:00:00 AM,GOOG,16393280
41.75,40.94,41.91,41.42,10/13/2021 12:00:00 AM,PFE,28205715
75.94,75.57,77.16,76.11,10/14/2021 12:00:00 AM,ATVI,5471702
15.62,15.37,15.62,15.45,10/14/2021 12:00:00 AM,F,50875110
139.95,139.34,141.65,141.41,10/14/2021 12:00:00 AM,GOOG,21437560
41.56,41.52,41.96,41.67,10/14/2021 12:00:00 AM,PFE,17590308
76.50,76.19,77.07,76.40,10/15/2021 12:00:00 AM,ATVI,6472760
15.54,15.54,16.03,15.70,10/15/2021 12:00:00 AM,F,77211817
142.20,141.06,142.20,141.68,10/15/2021 12:00:00 AM,GOOG,21253360
41.90,41.38,42.03,41.49,10/15/2021 12:00:00 AM,PFE,23550344
76.14,75.24,76.72,76.40,10/18/2021 12:00:00 AM,ATVI,5417407
15.57,15.48,15.65,15.56,10/18/2021 12:00:00 AM,F,48643809
141.21,141.21,143.00,142.96,10/18/2021 12:00:00 AM,GOOG,16567200
41.45,41.04,41.70,41.32,10/18/2021 12:00:00 AM,PFE,21732991
76.77,75.95,77.20,77.18,10/19/2021 12:00:00 AM,ATVI,4238549
15.60,15.37,15.69,15.42,10/19/2021 12:00:00 AM,F,44668310
143.29,143.10,144.11,143.82,10/19/2021 12:00:00 AM,GOOG,15315840
41.60,41.54,42.20,42.09,10/19/2021 12:00:00 AM,PFE,17159787
77.52,77.08,78.08,78.08,10/20/2021 12:00:00 AM,ATVI,4537908
15.43,15.37,16.16,16.04,10/20/2021 12:00:00 AM,F,105213717
144.22,141.91,144.25,142.41,10/20/2021 12:00:00 AM,GOOG,17939500
42.12,42.10,43.11,42.80,10/20/2021 12:00:00 AM,PFE,22788277
77.72,76.72,78.74,78.70,10/21/2021 12:00:00 AM,ATVI,5904311
16.16,16.13,16.70,16.55,10/21/2021 12:00:00 AM,F,95854951
142.19,141.64,142.85,142.78,10/21/2021 12:00:00 AM,GOOG,14849920
43.05,42.43,43.09,42.86,10/21/2021 12:00:00 AM,PFE,22142324
78.62,78.62,80.92,79.27,10/22/2021 12:00:00 AM,ATVI,6960407
16.42,16.23,16.54,16.28,10/22/2021 12:00:00 AM,F,60646754
140.35,137.17,141.56,138.63,10/22/2021 12:00:00 AM,GOOG,30182640
42.82,42.63,43.19,43.16,10/22/2021 12:00:00 AM,PFE,17183013
79.43,79.39,81.51,81.19,10/25/2021 12:00:00 AM,ATVI,8345757
16.40,15.81,16.50,16.00,10/25/2021 12:00:00 AM,F,67808039
138.81,136.75,139.21,138.77,10/25/2021 12:00:00 AM,GOOG,21081700
43.20,42.57,43.24,43.15,10/25/2021 12:00:00 AM,PFE,22846241
149.33,149.01,150.84,149.32,10/26/2021 12:00:00 AM,AAPL,60893395
81.81,80.42,82.34,80.76,10/26/2021 12:00:00 AM,ATVI,6420631
16.09,15.70,16.22,15.94,10/26/2021 12:00:00 AM,F,64882295
140.61,139.01,140.84,139.67,10/26/2021 12:00:00 AM,GOOG,28258740
43.33,42.92,43.76,43.56,10/26/2021 12:00:00 AM,PFE,29729051
341.56,333.81,364.98,339.48,10/26/2021 12:00:00 AM,TSLA,187244901
149.36,148.49,149.73,148.85,10/27/2021 12:00:00 AM,AAPL,56094929
80.22,78.55,80.34,78.65,10/27/2021 12:00:00 AM,ATVI,6261495
1754.42,1748.06,1787.67,1766.06,10/27/2021 12:00:00 AM,CMG,221823
15.79,15.50,15.92,15.51,10/27/2021 12:00:00 AM,F,96094256
139.90,139.90,149.12,146.43,10/27/2021 12:00:00 AM,GOOG,51850920
43.46,42.68,43.56,42.97,10/27/2021 12:00:00 AM,PFE,22317476
346.55,343.59,356.96,345.95,10/27/2021 12:00:00 AM,TSLA,115579377
149.82,149.72,153.16,152.57,10/28/2021 12:00:00 AM,AAPL,100077888
78.60,76.65,78.96,78.88,10/28/2021 12:00:00 AM,ATVI,10842635
1766.00,1762.62,1786.73,1777.63,10/28/2021 12:00:00 AM,CMG,191233
16.86,16.71,17.58,16.86,10/28/2021 12:00:00 AM,F,215237578
147.30,144.76,147.42,146.13,10/28/2021 12:00:00 AM,GOOG,32418060
42.95,42.94,43.67,43.18,10/28/2021 12:00:00 AM,PFE,18023407
356.10,351.40,360.33,359.01,10/28/2021 12:00:00 AM,TSLA,81639513
147.22,146.41,149.94,149.80,10/29/2021 12:00:00 AM,AAPL,124953168
78.93,77.73,79.37,78.19,10/29/2021 12:00:00 AM,ATVI,8370219
1759.74,1756.16,1785.84,1779.03,10/29/2021 12:00:00 AM,CMG,175007
16.86,16.55,17.36,17.08,10/29/2021 12:00:00 AM,F,100560723
145.52,145.17,148.61,148.27,10/29/2021 12:00:00 AM,GOOG,28954500
43.09,42.85,43.83,43.74,10/29/2021 12:00:00 AM,PFE,30307485
360.62,357.74,371.74,371.33,10/29/2021 12:00:00 AM,TSLA,89755245
148.99,147.80,149.70,148.96,11/1/2021 12:00:00 AM,AAPL,74588258
78.94,78.54,80.01,79.35,11/1/2021 12:00:00 AM,ATVI,7569367
1784.54,1778.22,1808.45,1801.19,11/1/2021 12:00:00 AM,CMG,274102
17.50,17.07,17.97,17.95,11/1/2021 12:00:00 AM,F,125246485
148.16,143.58,148.40,143.77,11/1/2021 12:00:00 AM,GOOG,32272100
44.14,43.44,44.29,43.64,11/1/2021 12:00:00 AM,PFE,32681515
381.67,372.89,403.25,402.86,11/1/2021 12:00:00 AM,TSLA,168146145
148.66,148.65,151.57,150.02,11/2/2021 12:00:00 AM,AAPL,69121987
79.29,77.03,79.37,77.67,11/2/2021 12:00:00 AM,ATVI,10370411
